"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 05 18:55:47 UTC 2025","Sun Oct 05 18:55:51 UTC 2025","3584","e2e_tests","test_form_submission","","","","test_form_submission[firefox-Bob-bob@example.com-Testing the form]",""
"passed","Sun Oct 05 18:55:36 UTC 2025","Sun Oct 05 18:55:43 UTC 2025","7610","e2e_tests","test_form_submission","","","","test_form_submission[chromium-Bob-bob@example.com-Testing the form]",""
"passed","Sun Oct 05 18:56:02 UTC 2025","Sun Oct 05 18:56:04 UTC 2025","1929","e2e_tests","test_form_submission","","","","test_handler_missing_fields[webkit-missing_name]",""
"passed","Sun Oct 05 18:55:51 UTC 2025","Sun Oct 05 18:55:53 UTC 2025","1597","e2e_tests","test_form_submission","","","","test_handler_missing_fields[chromium-missing_message]",""
"passed","Sun Oct 05 18:56:03 UTC 2025","Sun Oct 05 18:56:06 UTC 2025","2511","e2e_tests","test_form_submission","","","","test_handler_missing_fields[firefox-all_missing]",""
"passed","Sun Oct 05 18:55:58 UTC 2025","Sun Oct 05 18:56:02 UTC 2025","3555","e2e_tests","test_form_submission","","","","test_form_submission[webkit-Bob-bob@example.com-Testing the form]",""
"passed","Sun Oct 05 18:56:06 UTC 2025","Sun Oct 05 18:56:08 UTC 2025","2097","e2e_tests","test_form_submission","","","","test_handler_missing_fields[webkit-all_missing]",""
"passed","Sun Oct 05 18:56:07 UTC 2025","Sun Oct 05 18:56:09 UTC 2025","2114","e2e_tests","test_form_submission","","","","test_handler_missing_fields[webkit-missing_message]",""
"passed","Sun Oct 05 18:55:43 UTC 2025","Sun Oct 05 18:55:45 UTC 2025","1871","e2e_tests","test_form_submission","","","","test_handler_missing_fields[chromium-missing_name]",""
"passed","Sun Oct 05 18:56:04 UTC 2025","Sun Oct 05 18:56:06 UTC 2025","2089","e2e_tests","test_form_submission","","","","test_handler_missing_fields[webkit-missing_email]",""
"passed","Sun Oct 05 18:55:51 UTC 2025","Sun Oct 05 18:55:53 UTC 2025","1645","e2e_tests","test_form_submission","","","","test_handler_missing_fields[chromium-all_missing]",""
"passed","Sun Oct 05 18:55:54 UTC 2025","Sun Oct 05 18:55:58 UTC 2025","4540","e2e_tests","test_form_submission","","","","test_form_submission[webkit-Alice-alice@example.com-Hello from Alice!]",""
"passed","Sun Oct 05 18:55:43 UTC 2025","Sun Oct 05 18:55:45 UTC 2025","1862","e2e_tests","test_form_submission","","","","test_handler_missing_fields[chromium-missing_email]",""
"passed","Sun Oct 05 18:55:59 UTC 2025","Sun Oct 05 18:56:01 UTC 2025","2035","e2e_tests","test_form_submission","","","","test_handler_missing_fields[firefox-missing_message]",""
"passed","Sun Oct 05 18:55:36 UTC 2025","Sun Oct 05 18:55:43 UTC 2025","7661","e2e_tests","test_form_submission","","","","test_form_submission[chromium-Alice-alice@example.com-Hello from Alice!]",""
"passed","Sun Oct 05 18:55:47 UTC 2025","Sun Oct 05 18:55:50 UTC 2025","3843","e2e_tests","test_form_submission","","","","test_form_submission[firefox-Alice-alice@example.com-Hello from Alice!]",""
"passed","Sun Oct 05 18:55:56 UTC 2025","Sun Oct 05 18:55:59 UTC 2025","2267","e2e_tests","test_form_submission","","","","test_handler_missing_fields[firefox-missing_email]",""
"passed","Sun Oct 05 18:55:54 UTC 2025","Sun Oct 05 18:55:56 UTC 2025","2095","e2e_tests","test_form_submission","","","","test_handler_missing_fields[firefox-missing_name]",""
